iter	Passed	Remaining
0	241	23911
1	244	11975
2	246	7983
3	248	5970
4	252	4798
5	255	4007
6	261	3470
7	264	3044
8	268	2715
9	272	2454
10	276	2235
11	277	2037
12	280	1875
13	282	1732
14	283	1608
15	286	1503
16	288	1408
17	290	1322
18	294	1254
19	296	1184
20	298	1121
21	299	1062
22	301	1009
23	303	961
24	305	917
25	307	875
26	309	837
27	311	800
28	313	766
29	315	735
30	317	705
31	319	678
32	320	651
33	322	626
34	324	602
35	326	580
36	328	559
37	330	539
38	334	523
39	336	504
40	338	487
41	340	470
42	342	453
43	345	440
44	347	425
45	349	410
46	352	397
47	355	385
48	358	372
49	361	361
50	363	348
51	365	337
52	367	325
53	367	313
54	370	302
55	372	292
56	377	284
57	379	274
58	381	265
59	383	255
60	385	246
61	386	237
62	388	228
63	391	220
64	393	211
65	395	203
66	397	195
67	398	187
68	400	180
69	401	172
70	403	164
71	405	157
72	406	150
73	408	143
74	409	136
75	411	130
76	413	123
77	416	117
78	421	112
79	423	105
80	425	99
81	426	93
82	428	87
83	430	81
84	433	76
85	434	70
86	436	65
87	438	59
88	439	54
89	441	49
90	443	43
91	444	38
92	447	33
93	448	28
94	451	23
95	453	18
96	454	14
97	456	9
98	458	4
99	460	0
