iter	Logloss
0	0.6635536451
1	0.6396068616
2	0.6154243384
3	0.5971911998
4	0.5815637996
5	0.5658107286
6	0.5520627311
7	0.539087617
8	0.526676478
9	0.5159731233
10	0.5057184026
11	0.4974964013
12	0.4899317709
13	0.4826737307
14	0.4739417601
15	0.4676317794
16	0.4619321502
17	0.4557281666
18	0.4504426678
19	0.4465533482
20	0.4413483438
21	0.437531632
22	0.4338467201
23	0.4297432632
24	0.426220926
25	0.4230622281
26	0.4196121987
27	0.4162198185
28	0.413489181
29	0.4115342987
30	0.4092647252
31	0.4070462859
32	0.4048764947
33	0.4029782756
34	0.4018325377
35	0.4001689439
36	0.3986709252
37	0.396773349
38	0.3955259002
39	0.3942814088
40	0.3925452072
41	0.3910119132
42	0.3894069543
43	0.3881472898
44	0.3870877898
45	0.3860246894
46	0.3851883277
47	0.3839387787
48	0.3830250086
49	0.3821521288
50	0.3810807132
51	0.380558914
52	0.3798551238
53	0.3794707395
54	0.3786320204
55	0.3780747317
56	0.3776066384
57	0.3770319478
58	0.3767885358
59	0.3760023653
60	0.3752413117
61	0.3741606809
62	0.3733271052
63	0.3726069418
64	0.3720259934
65	0.3715034228
66	0.3707277105
67	0.3705381329
68	0.3693146866
69	0.3690770181
70	0.3679041487
71	0.367301598
72	0.3670796169
73	0.3664319756
74	0.3657378293
75	0.3653911633
76	0.3645598165
77	0.3638964021
78	0.3630733276
79	0.3622863855
80	0.3620788917
81	0.3612436016
82	0.3607082581
83	0.3598841121
84	0.3588696383
85	0.3579480675
86	0.357423418
87	0.3563209705
88	0.3560222026
89	0.355597571
90	0.3544053496
91	0.3540033276
92	0.3534611048
93	0.3532711843
94	0.3531504213
95	0.352294879
96	0.3518509597
97	0.3508755116
98	0.3499811151
99	0.3495560978
